,rnn_sim_score,Text,Doc_Name
124,[[1.]],"The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ? 
",All-Arithquestions.txt
123,[[1.]],"There are 107 walnut trees currently in the park . Park workers will plant 104 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
116,[[1.]],"One integer is twice another , and their sum is 96. Find the smaller and larger integer. 
",alg514questions.txt
115,[[1.]],"One number is 11 more than 3 times another number. Their sum is 55. Find the smaller number.
",alg514questions.txt
114,[[1.]],"A 177-inch pipe is cut into two pieces. One piece is two times the length of the other. Find the lengths of the two pieces.
",alg514questions.txt
113,[[1.]],"Find a number such that 1 more than 0.6667 the number is 0.75 the number.
",alg514questions.txt
112,[[1.]],"Find two numbers whose sum is 55 and whose difference is 15.
",alg514questions.txt
109,[[1.]],"The sum of two numbers is 48. The difference between three times the smaller number and the larger number is 16. Find the smaller number and the larger number.
",alg514questions.txt
108,[[1.]],"The length of a rectangular field is 24 meters. This is 3 meters less than twice the width. Find the width.
",alg514questions.txt
106,[[1.]],"The sum of 2 numbers is 27. 0.5 of the first number plus 0.3333 of the second number is 11. Find the smaller and the larger number.
",alg514questions.txt
105,[[1.]],"The world 's oldest bride was 19 yr older than her groom. Together , their ages totaled 185 years. How old was the bride? How old was the groom? 
",alg514questions.txt
104,[[1.]],"In a class of 35 students the number of girls is 0.4 of the number of boys. Find the number of girls in the class.
",alg514questions.txt
103,[[1.]],"24 is divided in two parts such that 7 time the first part added to 5 times the second part makes 146. What is the first part?
",alg514questions.txt
102,[[1.]],"The sum of 2 numbers is 43. Twice the larger number exceeds 3 times the smaller number by 16. Find the number.
",alg514questions.txt
101,[[1.]],"The number of boys in eighth grade is 16 less than twice the number of girls. There are 68 students in eighth grade. How many are girls?
",alg514questions.txt
100,[[1.]],"7 less than 4 times a number equals 13. What is the number?
",alg514questions.txt
99,[[1.]],"The sum of 2 numbers is 15. 3 times one of the numbers is 11 less than 5 times the other. What is the smaller number? What is the larger number?
",alg514questions.txt
98,[[1.]],"The sum of 0.75 of a number and two is eight. Find the number. 
",alg514questions.txt
63,[[1.]],"One number is 3 less than twice another. If their sum is 39 , find the numbers. 
",alg514questions.txt
75,[[1.]],"If the product of 5 and a number is increased by 4 , the result is 19. What is the number? 
",alg514questions.txt
20,[[1.]],".833 of a number is -60. What is the number?
",alg514questions.txt
32,[[1.]],"Riza was 25 when her first son was born. Today the sum of their ages is 105. How old is Riza and her son now?
",alg514questions.txt
30,[[1.]],"The sum of the numbers of boys and girls in a class is 36. If twice the number of girls exceeds the number of boys by 12 , find the number of girls in the class. Find the number of boys. 
",alg514questions.txt
29,[[1.]],"0.20 of a number decreased by 4 is equal to 6. Find the number.
",alg514questions.txt
28,[[1.]],"The tallest player on the basketball team is 77.75 inches tall. This is 9.5 inches taller than the shortest player. How tall is the shortest player , in inches? 
",alg514questions.txt
27,[[1.]],"Find the number whose double is 45 greater than its half?
",alg514questions.txt
26,[[1.]],"The sum of 38 and twice a number is 124. Find the number.
",alg514questions.txt
25,[[1.]],"The sum of 2 numbers is 70. The larger number is 2 more than 3 times the smaller number. Find the smaller number. Find the larger number.
",alg514questions.txt
24,[[1.]],"The difference between two numbers is 3. Their sum is 13. Find the numbers. What is the larger number? What is the smaller number?
",alg514questions.txt
23,[[1.]],"3 times a number is added to 5 times a number to get 54. The second number is 2 less than the first. What is the smaller number? What is the larger number?
",alg514questions.txt
22,[[1.]],"The sum of 20 and a number is 30. 
",alg514questions.txt
21,[[1.]],"The sum of two numbers is 104. The larger number is 1 less than twice the smaller number. Find the numbers.
",alg514questions.txt
19,[[1.]],"Three times a number is the same as the difference of twice the number and seven. Find the number.
",alg514questions.txt
17,[[1.]],"A painting is 10 inches tall and 15 inches wide. A print of the painting is 25 inches tall , how wide is the print in inches? 
",alg514questions.txt
16,[[1.]],"The difference between 2 times a number and -8 is -12. Find the number.
",alg514questions.txt
15,[[1.]],"The sum of two numbers is 85. The difference of twice of one of them and the other one is 5. Find both numbers.
",alg514questions.txt
14,[[1.]],"0.5 of a number is 2 more than 0.25 of the number. Find the number.
",alg514questions.txt
13,[[1.]],"Find two numbers whose sum is 106 and whose difference is 64.
",alg514questions.txt
12,[[1.]],"0.5 of a certain number is 10 more than 0.1667 of a number. Find the number.
",alg514questions.txt
11,[[1.]],"The difference between two numbers is 20 and their sum is 48. Find the numbers.
",alg514questions.txt
10,[[1.]],"The difference between two numbers is 6. If you double both numbers , the sum is 36. Find the two numbers. 
",alg514questions.txt
9,[[1.]],"The sum of 2 numbers is 84. One number is 3 times the other. Find the smaller number. Find the larger number.
",alg514questions.txt
8,[[1.]],"Find a number so that 10 less than 0.6667 the number is 0.25 the number.
",alg514questions.txt
7,[[1.]],"Find 2 numbers whose sum is 64 and whose difference is 4. What is the smaller number? What is the larger number?
",alg514questions.txt
6,[[1.]],"A 68-foot pipe is cut into 2 pieces , one of which is 12 feet less than the other. What is the length of the shorter piece in feet? 
",alg514questions.txt
5,[[1.]],"Find the amount of 6 percent acid solution and the amount of a 14 percent acid solution that Pat should combine to prepare 50 cubic-centimeters of 12 percent solution.
",alg514questions.txt
4,[[1.]],"The sum of 2 numbers is 50. The first number is 43 less than twice the second number. Find the smaller number. Find the larger number.
",alg514questions.txt
3,[[1.]],"The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. Find the value of the vehicle last year. 
",alg514questions.txt
2,[[1.]],"The maximum load that a horizontal beam can carry is directly proportional to its width. If a beam 1.5 inches wide can support a load of 250 pounds , find the load that a beam of the same type can support if its width is 3.5 inches? 
",alg514questions.txt
31,[[1.]],"The probability that San Francisco plays in the next super bowl is nine times the probability that they do not play in the next super bowl. The probability that San Francisco plays in the next super bowl plus the probability that they do not play is 1. What is the probability that San Francisco plays in the next super bowl?
",alg514questions.txt
149,[[1.]]," Cody is 14 years old. His grandmother is 6 times as old as he is. How old is Cody's grandmother?
",SingleEQquestions.txt
33,[[1.]],"Freeport McMoran projects that in 2010 the world grain supply will be 1800000 metric tons and the supply will be only 0.75 of the world grain demand. What will the world grain demand be in 2010?
",alg514questions.txt
44,[[1.]],"The difference of 3 times a number and 5 is 40. Find the number.
",alg514questions.txt
53,[[1.]],"Find two numbers whose sum is 147 and one is 4 greather than 0.375 of the other.
",alg514questions.txt
54,[[1.]],"The second of two numbers is 4 more than the first. The sum is 56. Find the first and second numbers. 
",alg514questions.txt
47,[[1.]],"The difference between two numbers is 9. Find the numbers , if their sum is 46. 
",alg514questions.txt
46,[[1.]],"The sum of two numbers is 40 , one number is 8 more than the other. Find the numbers. 
",alg514questions.txt
55,[[1.]],"Twice a number equals 25 less than triple the same number. What is the number?
",alg514questions.txt
56,[[1.]],"1 number is 9 less than twice another , and their sum is 42. Find the two numbers. 
",alg514questions.txt
57,[[1.]],"Think of a number , half it and the result is 9. Find the number. 
",alg514questions.txt
58,[[1.]],"The sum of 2 numbers is 64 and their difference is 18. What is the first number? What is the second number?
",alg514questions.txt
50,[[1.]],"The greater of two numbers is 8 times the lesser and their sum is 180. Find the numbers.
",alg514questions.txt
51,[[1.]],"The second number is 3 less than twice the first number. Their sum is 57. Find the second number.
",alg514questions.txt
42,[[1.]],"One number exceeds another by 10 and their sum is 34. Find the larger number.
",alg514questions.txt
41,[[1.]],"The sum of 5 and a number is 20. Find the number.
",alg514questions.txt
59,[[1.]],"1.3333 of a number is 4.82 , what is the number? 
",alg514questions.txt
39,[[1.]],"The larger of two numbers is 23 less than twice the smaller. The sum of the two numbers is 70. Find the two numbers.
",alg514questions.txt
37,[[1.]],"17 is 4 less than 8 times a number. Find the number.
",alg514questions.txt
35,[[1.]],"The carpenter saws a board that is 22 feet long into two pieces. One piece is to be 1 foot longer than twice the length of the shorter piece. Find the Length of each piece.
",alg514questions.txt
34,[[1.]],"One number is 3 more than twice a second number. Their sum is 27. Find the smaller number. Find the larger number.
",alg514questions.txt
36,[[0.9999999]],"The 6th graders from an elementary school are going to celebrate the end of the year by going to the local pizza parlor. There are 120 in the whole group and there are twice as many children as adults in the group. How many children are there?
",alg514questions.txt
126,[[0.99999976]],"At the hardware store , 0.25 the nails are size 2d and 0.5 the nails are size 4d . What fraction of the nails are either size 2d or 4d ? 
",All-Arithquestions.txt
144,[[0.99999976]],"At the hardware store , 0.25 the nails are size 2d and 0.5 the nails are size 4d . What fraction of the nails are either size 2d or 4d ? 
",SingleEQquestions.txt
38,[[0.9999997]],"Jerry Weller received 20,196 more votes than opponent John Pavich. If the total number of votes was 196,554 , find the number of votes for Jerry. Find the number of votes for John. 
",alg514questions.txt
147,[[0.99999964]]," Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?
",SingleEQquestions.txt
132,[[0.99999964]]," Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?
",illinois(IL)questions.txt
129,[[0.99999964]]," Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?
",All-Arithquestions.txt
139,[[0.9999994]],"There are 53 maple trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 64 maple trees in the park . How many maple trees did the workers plant today ? 
",SingleEQquestions.txt
121,[[0.9999994]],"There are 53 maple trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 64 maple trees in the park . How many maple trees did the workers plant today ? 
",All-Arithquestions.txt
60,[[0.99999917]],"The manager of a discount clothing store received 2 shipments of Fall clothing. The cost of the first shipment which contained 10 identical sweaters and 20 identical jackets was 800 dollars. The second shipment at the same prices , contained 5 of the same sweaters and 15 of the same jackets. The second shipment was 550 dollars. Find the cost of 1 jacket , in dollars. 
",alg514questions.txt
135,[[0.99999815]],"There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ? 
",SingleEQquestions.txt
117,[[0.99999815]],"There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ? 
",All-Arithquestions.txt
110,[[0.99999815]],"A piece of rope 60 meters long is cut into two pieces so that the longest piece is twice as long as the shorter piece. How long are the two pieces? 
",alg514questions.txt
43,[[0.9999976]],"A truck and trailer together weigh 7,000 pounds. The trailer weighs 200 pounds less than 0.5 as much as the truck. Find the truck 's weight. Find the trailer 's weight. 
",alg514questions.txt
49,[[0.9999963]],"There are 3 more girls than boys in Tom 's class , and the sum of girls and boys is 41. How many boys are in the class? How many girls are in the class? 
",alg514questions.txt
146,[[0.99999297]],"There are 112 short trees and 119 tall trees currently in the park . Park workers will plant 105 short trees today . How many short trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
128,[[0.99999297]],"There are 112 short trees and 119 tall trees currently in the park . Park workers will plant 105 short trees today . How many short trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
118,[[0.99999064]],"There are 4 walnut trees currently in the park . Park workers will plant 6 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
136,[[0.99999064]],"There are 4 walnut trees currently in the park . Park workers will plant 6 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
62,[[0.9999855]],"Separate 66 into 2 parts so that 0.40 of one part exceeds 0.625 of the other part by 10. What is the smaller part? What is the larger part?
",alg514questions.txt
1,[[0.99997956]],"You are traveling to your mothers house that is 234 miles away. If you are currently twice as far from your house as you are from your mothers house how far have you traveled? Round to the nearest tenth mile.
",alg514questions.txt
140,[[0.999974]],"There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
122,[[0.999974]],"There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
40,[[0.999933]],"A garden table and a bench cost 750 combined. The price of the garden table is two times the price of the bench. What is the cost of the bench?
",alg514questions.txt
18,[[0.9999261]],"A washer and a dryer cost 600 dollars combined. The price of the washer is 3 times the price of the dryer. What is the cost of the dryer?
",alg514questions.txt
48,[[0.9999136]],"Matthew has two different stocks. One of the stocks is worth twice as much per share as the other. He has 14 shares of the more valuable stock and 26 shares of the other stock. His total assets in stocks is 2106 dollars. How much is the more expensive stock per share?
",alg514questions.txt
120,[[0.99979734]],"There are 39 dogwood trees currently in the park . Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
138,[[0.99979734]],"There are 39 dogwood trees currently in the park . Park workers will plant 41 dogwood trees today and 20 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
94,[[0.9997479]],"In a family there are two cars. The sum of the average miles per gallon obtained by the two cars in a particular week is 75 miles per gallon. The first car has consumed 25 gallons during that week , and the second has consumed 35 gallons , for a total of 2275 miles driven by the two cars combined. What was the average gas mileage obtained by the first car that week? What was the average gas mileage obtained by the second car that week? 
",alg514questions.txt
45,[[0.9994748]],"An airplane has a total of 387 seats. The number of coach class seats is 2 more than 4 times the number of first-class seats. How many first class and coach class seats are there on the plane?
",alg514questions.txt
65,[[0.9989192]],"A peach and a apple cost 70 cents. The peach is more expensive than the apple by 60 cents. What is the cost a peach , in cents? What is the cost of an apple , in cents? 
",alg514questions.txt
111,[[0.9983598]],"John is writing an article. The article is limited to 48,000 words. He decides to use two types of font. Large font is 1,800 words per page , small font is 2,400 words per page. He is allowed 21 pages for this article. How many pages are in small font? How many pages are in large font? 
",alg514questions.txt
119,[[0.99771285]],"There are 33 walnut trees currently in the park . Park workers will plant 44 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",All-Arithquestions.txt
137,[[0.99771285]],"There are 33 walnut trees currently in the park . Park workers will plant 44 walnut trees today . How many walnut trees will the park have when the workers are finished ? 
",SingleEQquestions.txt
52,[[0.9971488]],"The Willey Farm Collective , farmed by several branches of the Willeys , has 4500 acres of land available for raising corn and wheat. The cost of raising corn is 42 dollars an acre , while the cost of wheat is 35 dollars an acre. The Collective 's available capital is 165,200 dollars. How many acres of corn should the Collective plant? How many acres of wheat should the collective plant? 
",alg514questions.txt
145,[[0.996866]],"Hoping to be named Salesperson of the Month , Rosa called the names from 10.2 pages of the phone book last week . This week , she called the people listed on another 8.6 pages of the same phone book . How many pages worth of people did Rosa call in all ? 
",SingleEQquestions.txt
127,[[0.996866]],"Hoping to be named Salesperson of the Month , Rosa called the names from 10.2 pages of the phone book last week . This week , she called the people listed on another 8.6 pages of the same phone book . How many pages worth of people did Rosa call in all ? 
",All-Arithquestions.txt
107,[[0.99267155]],"A bottle of wine with a cork cost 2.10 dollars. A bottle of wine without a cork costs 2.00 dollars more than the cork. What is the price of the cork?
",alg514questions.txt
